伯爵の釵	伯爵の釵
「ああ、山国の門附芸人、誇れば、魔法つかいと言いたいが、いかな、さまでの事もない。	「あゝ、山国の門附芸人、誇れば、魔法つかひと言ひたいが、いかな、然までの事もない。
昨日から御目に掛けた、あれは手品じゃ。」	昨日から御目に掛けた、あれは手品ぢや。」
坊主は、欄干に擬う苔蒸した井桁に、破法衣の腰を掛けて、活けるがごとく爛々として眼の輝く青銅の竜の蟠れる、角の枝に、肱を安らかに笑みつつ言った。	坊主は、欄干に擬ふ苔蒸した井桁に、破法衣の腰を掛けて、活けるが如く爛々として眼の輝く青銅の竜の蟠れる、角の枝に、肱を安らかに笑みつゝ言つた。
「私に、何のお怨みで？……」	「私に、何のお怨みで？……」
と息せくと、眇の、ふやけた目珠ぐるみ、片頬を掌でさし蔽うて、	と息せくと、眇の、ふやけた目珠ぐるみ、片頬を掌でさし蔽うて、
「いや、辺境のものは気が狭い。	「いや、辺境のものは気が狭い。
貴方が余り目覚しい人気ゆえに、恥入るか、もの嫉みをして、前芸をちょっと遣った。	貴方が余り目覚しい人気ゆゑに、恥入るか、もの嫉みをして、前芸を一寸遣つた。
……さて時に承わるが太夫、貴女はそれだけの御身分、それだけの芸の力で、人が雨乞をせよ、と言わば、すぐに優伎の舞台に出て、小町も静も勤めるのかな。」	……さて時に承はるが太夫、貴女は其だけの御身分、それだけの芸の力で、人が雨乞をせよ、と言はば、すぐに優伎の舞台に出て、小町も静も勤めるのかな。」
紫玉は巌に俯向いた。	紫玉は巌に俯向いた。
「それで通るか、いや、さて、都は気が広い。	「其で通るか、いや、さて、都は気が広い。
――われらの手品はどうじゃろう。」	――われらの手品は何うぢやらう。」
「ええ、」	「えゝ、」
と仰いで顔を視た時、紫玉はゾッと身に沁みた、腐れた坊主に不思議な恋を知ったのである。	と仰いで顔を視た時、紫玉はゾツと身に沁みた、腐れた坊主に不思議な恋を知つたのである。
「貴方なら、貴方なら――なぜ、さすろうておいで遊ばす。」	「貴方なら、貴方なら――何故、さすらうておいで遊ばす。」
坊主は両手で顔を圧えた。	坊主は両手で顔を圧へた。
「面目ない、われら、ここに、高い貴い処に恋人がおわしてな、雲霧を隔てても、その御足許は動かれぬ。	「面目ない、われら、此処に、高い貴い処に恋人がおはしてな、雲霧を隔てても、其の御足許は動かれぬ。
や！」	呀！」
と、慌しく身を退ると、呆れ顔してハッと手を拡げて立った。	と、慌しく身を退ると、呆れ顔してハツと手を拡げて立つた。
髪黒く、色雪のごとく、厳しく正しく艶に気高き貴女の、繕わぬ姿したのが、すらりと入った。	髪黒く、色雪の如く、厳しく正しく艶に気高き貴女の、繕はぬ姿したのが、すらりと入つた。
月を頸に掛けつと見えたは、真白な涼傘であった。	月を頸に掛けつと見えたは、真白な涼傘であつた。
膝と胸を立てた紫玉を、ちらりと御覧ずると、白やかなる手尖を軽く、彼が肩に置いて、	膝と胸を立てた紫玉を、ちらりと御覧ずると、白やかなる手尖を軽く、彼が肩に置いて、
「私を打ったね。	「私を打つたね。
――雨と水の世話をしに出ていた時、……」	――雨と水の世話をしに出て居た時、……」
装は違った、が、幻の目にも、面影は、浦安の宮、石の手水鉢の稚児に、寸分のかわりはない。	装は違つた、が、幻の目にも、面影は、浦安の宮、石の手水鉢の稚児に、寸分のかはりはない。
「姫様、貴女は。」	「姫様、貴女は。」
と坊主が言った。	と坊主が言つた。
「白山へ帰る。」	「白山へ帰る。」
ああ、その剣ケ峰の雪の池には、竜女の姫神おわします。	あゝ、其の剣ヶ｜峰の雪の池には、竜女の姫神おはします。
「お馬。」	「お馬。」
と坊主が呼ぶと、スッと畳んで、貴女が地に落した涼傘は、身震をしてむくと起きた。	と坊主が呼ぶと、スツと畳んで、貴女が地に落した涼傘は、身震をしてむくと起きた。
手まさぐりたまえる緋の総は、たちまち紅の手綱に捌けて、朱の鞍置いた白の神馬。	手まさぐり給へる緋の総は、忽ち紅の手綱に捌けて、朱の鞍置いた白の神馬。
ずっと騎すのを、轡頭を曳いて、トトトト――と坊主が出たが、	ずつと騎すのを、轡頭を曳いて、トトトト――と坊主が出たが、
「纏頭をするぞ。	「纏頭をするぞ。
それ、錦を着て行け。」	それ、錦を着て行け。」
かなぐり脱いだ法衣を投げると、素裸の坊主が、馬に、ひたと添い、紺碧なる巌の聳つ崕を、翡翠の階子を乗るように、貴女は馬上にひらりと飛ぶと、天か、地か、渺茫たる広野の中をタタタタと蹄の音響。	かなぐり脱いだ法衣を投げると、素裸の坊主が、馬に、ひたと添ひ、紺碧なる巌の聳つ崕を、翡翠の階子を乗るやうに、貴女は馬上にひらりと飛ぶと、天か、地か、渺茫たる曠野の中をタタタタと蹄の音響。
蹄を流れて雲が漲る。	蹄を流れて雲が漲る。
身を投じた紫玉の助かっていたのは、霊沢金水の、巌窟の奥である。	身を投じた紫玉の助かつて居たのは、霊沢金水の、巌窟の奥である。
うしろは五十万坪と称うる練兵場。	うしろは五十万坪と称ふる練兵場。
紫玉が、ただ沈んだ水底と思ったのは、天地を静めて、車軸を流す豪雨であった。	紫玉が、たゞ沈んだ水底と思つたのは、天地を静めて、車軸を流す豪雨であつた。
雨を得た市民が、白身に破法衣した女優の芸の徳に対する新たなる渇仰の光景が見せたい。	雨を得た市民が、白身に破法衣した女優の芸の徳に対する新たなる渇仰の光景が見せたい。
